source name	characteristics[organism]	characteristics[cell line]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	factor value[cell line]
PXD004701-Sample-1	Homo sapiens	184a1	not available	not available	cell line	not available	breast cancer	1	not available	not available	cell line	run1	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR1	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	184a1
PXD004701-Sample-2	Homo sapiens	184a1	not available	not available	cell line	not available	breast cancer	2	not available	not available	cell line	run2	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR2	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	184a1
PXD004701-Sample-3	Homo sapiens	184b5	not available	not available	cell line	not available	breast cancer	1	not available	not available	cell line	run3	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR5.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR5	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	184b5
PXD004701-Sample-4	Homo sapiens	184b5	not available	not available	cell line	not available	breast cancer	2	not available	not available	cell line	run4	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR6.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR6	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	184b5
PXD004701-Sample-5	Homo sapiens	600mpe	not available	not available	cell line	not available	breast cancer	1	not available	not available	cell line	run5	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR9.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR9	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	600mpe
PXD004701-Sample-6	Homo sapiens	600mpe	not available	not available	cell line	not available	breast cancer	2	not available	not available	cell line	run6	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR10.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR10	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	600mpe
PXD004701-Sample-7	Homo sapiens	au565	not available	not available	cell line	not available	breast cancer	1	not available	not available	cell line	run7	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR13.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR13	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	au565
PXD004701-Sample-8	Homo sapiens	au565	not available	not available	cell line	not available	breast cancer	2	not available	not available	cell line	run8	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR14.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR14	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	au565
PXD004701-Sample-9	Homo sapiens	bt20	not available	not available	cell line	not available	breast cancer	1	not available	not available	cell line	run9	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR17.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR17	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	bt20
PXD004701-Sample-10	Homo sapiens	bt20	not available	not available	cell line	not available	breast cancer	2	not available	not available	cell line	run10	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	GUOT_K160125_SW_BR18.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD004701/GUOT_K160125_SW_BR18	1	1	label free	TripleTOF 5600;AC=MS:1000932	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	20 ppm	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Excision;MT=Variable;TA=M;PP=Protein N-term;AC=UNIMOD:1	NT=Trypsin/P;AC=MS:1001313	bt20
